date_posted,hook,video_type,platform,views,likes,shares,saves,comments,weighted_engagement,engagement_score,status
1/1/2026,Why you can't lose weight,Emotional,Instagram,15929,1858,133,347,535,4235,26.58672861,SCALE
1/2/2026,Stop doing this at night,POV,TikTok,13790,2386,443,145,598,4903,35.55474982,SCALE
1/3/2026,Mental health truth,Authority,TikTok,34592,4439,621,319,534,7706,22.27682701,SCALE
1/4/2026,Hidden anxiety signs,Emotional,TikTok,25822,57,372,38,357,1629,6.308574084,ITERATE
1/5/2026,Weight loss mistake,Emotional,Instagram,21006,4648,710,153,313,7153,34.05217557,SCALE
1/6/2026,Sleep affects weight,Authority,Instagram,5051,4572,721,652,585,9140,180.9542665,SCALE
1/7/2026,Stress and fat gain,Authority,TikTok,21736,1082,864,363,143,4185,19.25377254,SCALE
1/8/2026,Why diets fail,Authority,TikTok,16561,3676,285,466,290,6224,37.5822716,SCALE
1/9/2026,Your brain and sugar,Authority,Instagram,13838,2850,466,443,19,5149,37.20913427,SCALE
1/10/2026,Confidence secret,Curiosity,TikTok,1244,439,647,750,291,4565,366.9614148,SCALE
1/11/2026,Trauma and eating,Authority,Instagram,24942,2258,271,695,210,5305,21.26934488,SCALE
1/12/2026,Night eating causes,Authority,Instagram,49284,1868,842,562,523,6284,12.75058843,SCALE
1/13/2026,Hydration weight myth,POV,TikTok,20425,1121,812,98,375,3789,18.55079559,SCALE
1/14/2026,Metabolism truth,Curiosity,TikTok,46842,864,165,575,27,2973,6.346868195,ITERATE
1/15/2026,Weight loss psychology,Authority,Instagram,33880,3122,416,226,428,5488,16.19834711,SCALE
1/16/2026,Food addiction truth,Emotional,TikTok,41995,4116,921,269,497,7759,18.47600905,SCALE
1/17/2026,Emotional eating signs,Authority,TikTok,1312,2003,582,740,467,6321,481.7835366,SCALE
1/18/2026,Hidden stress signals,POV,TikTok,8472,4350,516,748,60,7746,91.4305949,SCALE
1/19/2026,Burnout warning,Emotional,TikTok,2116,4951,510,754,476,9185,434.073724,SCALE
1/20/2026,Gut health truth,Emotional,TikTok,16700,3810,514,765,252,7637,45.73053892,SCALE
